Nome;Profissão;Email;Telefone;Usuario;Estado;Link da Imagem
Maria Macedo;Produtor;maria_macedo@example.net;(74) 36520-0138;maria.macedo33;Mato Grosso;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/225.jpg
Maria Xavier;Policial;maria.xavier29@example.com;+55 (22) 7805-9414;maria.xavier29;Bahia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/602.jpg
Maria Martins;Produtor;maria_martins@example.org;(36) 5631-4704;maria.martins22;Amazonas;https://avatars.githubusercontent.com/u/45544229
Maria Pereira Neto;Desenvolvedor;maria.pereira@example.org;(14) 5725-9205;maria_pereira20;Rio Grande do Norte;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/279.jpg
Maria Reis;Engenheiro;maria_reis66@example.net;(35) 9276-8051;maria.reis91;Distrito Federal;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1051.jpg
Maria Pereira;Administrador;maria.pereira46@example.net;(71) 1791-7172;maria.pereira54;Rondônia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/518.jpg
Maria Xavier Jr.;Estrategista;maria.xavier63@example.org;(58) 55871-7475;maria.xavier29;Distrito Federal;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/225.jpg
Maria Melo;Supervisor;maria.melo@example.org;(59) 68462-9759;maria_melo;Paraná;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1134.jpg
Sr. Maria Macedo;Planejador;maria_macedo@example.com;+55 (99) 5735-6652;maria_macedo;Rondônia;https://avatars.githubusercontent.com/u/76624928
João Moreira;Coordenador;joao_moreira@example.com;(13) 5595-9988;joao.moreira82;Minas Gerais;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1189.jpg
João Macedo;Gerente;joao_macedo@example.net;(23) 10405-1438;joao.macedo;Tocantins;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/77.jpg
João Moreira;Assistente;joao.moreira@example.net;+55 (42) 1392-8386;joao_moreira;Rio Grande do Sul;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/151.jpg
Dra. João Martins;Desenvolvedor;joao.martins52@example.org;+55 (61) 3317-9257;joao_martins;Sergipe;https://avatars.githubusercontent.com/u/38929199
João Franco;Especialista;joao.franco10@example.org;+55 (17) 4148-3671;joao.franco72;Distrito Federal;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1008.jpg
João Moraes;Assistente;joao_moraes96@example.com;+55 (80) 0355-7470;joao_moraes67;Alagoas;https://avatars.githubusercontent.com/u/60110940
João Martins;Associado;joao_martins@example.com;(07) 63079-4563;joao_martins;Paraná;https://avatars.githubusercontent.com/u/64738727
João Oliveira;Atentende;joao.oliveira@example.net;(43) 63697-8097;joao_oliveira;Piauí;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1189.jpg
João Moraes;Agente;joao.moraes@example.net;+55 (26) 6559-7699;joao.moraes;Rio de Janeiro;https://avatars.githubusercontent.com/u/47653330
João Albuquerque;Planejador;joao.albuquerque7@example.org;(13) 2240-8514;joao.albuquerque;Maranhão;https://avatars.githubusercontent.com/u/10662724
Leonardo Nogueira;Orquestrador;leonardo.nogueira@example.org;(00) 02818-0593;leonardo.nogueira;Piauí;https://avatars.githubusercontent.com/u/86160854
Leonardo Pereira;Consultor;leonardo_pereira84@example.org;(65) 51587-4679;leonardo.pereira;Rondônia;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/389.jpg
Leonardo Melo;Executivo;leonardo.melo@example.org;(27) 71071-1423;leonardo_melo;Mato Grosso do Sul;https://avatars.githubusercontent.com/u/34624243
Leonardo Braga;Coordenador;leonardo_braga6@example.org;+55 (63) 0542-3109;leonardo_braga97;Santa Catarina;https://avatars.githubusercontent.com/u/63062629
Leonardo Macedo;Agente;leonardo_macedo@example.com;+55 (23) 7236-8613;leonardo.macedo;Mato Grosso;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1234.jpg
Leonardo Nogueira;Planejador;leonardo_nogueira40@example.net;+55 (05) 6131-2419;leonardo.nogueira95;Amazonas;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/578.jpg
Leonardo Silva;Diretor;leonardo.silva82@example.net;+55 (25) 3386-5004;leonardo.silva;Amapá;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/395.jpg
Leonardo Moreira;Supervisor;leonardo_moreira@example.net;(80) 20464-5614;leonardo_moreira21;Rondônia;https://avatars.githubusercontent.com/u/29635683
Leonardo Nogueira;Executivo;leonardo_nogueira74@example.net;(75) 52965-1973;leonardo_nogueira;Piauí;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/554.jpg
Leonardo Melo;Diretor;leonardo.melo67@example.org;(94) 30958-9798;leonardo.melo74;Amazonas;https://avatars.githubusercontent.com/u/73164166
Talita Batista;Consultor;talita_batista@example.net;(53) 8832-5125;talita_batista;Santa Catarina;https://avatars.githubusercontent.com/u/14489429
Talita Silva;Agente;talita.silva@example.org;(39) 0154-7746;talita_silva;Paraná;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/956.jpg
Talita Franco;Agente;talita_franco12@example.net;(01) 63394-5380;talita.franco;Paraíba;https://avatars.githubusercontent.com/u/96641891
Talita Saraiva Neto;Técnico;talita_saraiva98@example.net;(48) 6800-1480;talita.saraiva;Santa Catarina;https://avatars.githubusercontent.com/u/10311405
Talita Costa Jr.;Engenheiro;talita.costa@example.org;(63) 30493-9109;talita_costa69;Ceará;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/681.jpg
Talita Silva;Produtor;talita.silva24@example.org;(58) 4334-0973;talita_silva95;Paraná;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/632.jpg
Talita Carvalho;Administrador;talita.carvalho@example.org;+55 (01) 5392-1269;talita_carvalho;Paraná;https://avatars.githubusercontent.com/u/58113334
Talita Reis;Desenvolvedor;talita_reis95@example.org;+55 (24) 2593-4780;talita.reis88;Rio Grande do Sul;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/989.jpg
Talita Moreira Neto;Designer;talita.moreira13@example.org;+55 (80) 9197-4922;talita.moreira24;Rio de Janeiro;https://avatars.githubusercontent.com/u/69449301
Talita Melo;Técnico;talita.melo@example.net;+55 (29) 7179-8886;talita.melo;Distrito Federal;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/495.jpg
Sr. Rafael Carvalho;Executivo;rafael.carvalho@example.net;(87) 02631-0287;rafael_carvalho19;Paraíba;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/899.jpg
Rafael Silva;Executivo;rafael.silva@example.org;(03) 28420-9060;rafael.silva;Maranhão;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/237.jpg
Rafael Moraes;Designer;rafael_moraes@example.net;(51) 04231-8692;rafael.moraes;Pará;https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/333.jpg
Rafael Moraes;Planejador;rafael.moraes62@example.net;+55 (74) 0972-0628;rafael_moraes;Acre;https://avatars.githubusercontent.com/u/87027247
Rafael Batista;Consultor;rafael_batista90@example.net;(61) 2383-1764;rafael.batista;Acre;https://avatars.githubusercontent.com/u/19811986
Rafael Moreira;Arquiteto;rafael_moreira41@example.net;+55 (43) 9703-2796;rafael.moreira;Amazonas;https://avatars.githubusercontent.com/u/56692236
Rafael Barros;Orquestrador;rafael.barros83@example.org;+55 (47) 4950-0368;rafael.barros;Roraima;https://avatars.githubusercontent.com/u/22193551
Rafael Saraiva;Consultor;rafael.saraiva@example.com;(17) 16075-4221;rafael.saraiva68;Sergipe;https://avatars.githubusercontent.com/u/64733413
Rafael Albuquerque;Consultor;rafael_albuquerque14@example.net;(01) 95670-4728;rafael.albuquerque5;Bahia;https://avatars.githubusercontent.com/u/40607261
Rafael Nogueira;Especialista;rafael.nogueira74@example.org;+55 (05) 1742-2800;rafael.nogueira11;Espírito Santo;https://avatars.githubusercontent.com/u/39562760
